문서번호,세트ID,품목명,HS_Code,품목군,원산지,협력사_소재국,목적지,인보이스금액_USD,순중량_kg,배출량_tCO2e,교차검증_위험신호수,교차검증_내용,예측_위험확률,리스크유형
EXP-2026-0901,SET-01,"Hot Rolled Steel Coil, 2.0mm x 1250mm, SS400",7208.39,철강,대한민국,대한민국,독일,99800,160000,291.2,0,불일치 후보 없음,0.12,없음
EXP-2026-0902,SET-02,"Aluminum Extruded Profile 6063-T5, 40mm x 40mm",7604.29,알루미늄,대한민국,중국,네덜란드,143500,37000,240.5,2,"2행 수량 30→32, 순중량 합계 +2.16%",0.78,서류불일치
EXP-2026-0903,SET-03,"Urea Granular 46% N, 50kg PP bags",3102.10,비료,대한민국,베트남,이탈리아,63000,150000,181.5,1,"2행 금액 20,000→25,000, 금액 합계 +7.94%",0.55,서류불일치
EXP-2026-0904,SET-04,"Aluminum Alloy Sheet 5052-H32, 2.0 x 1000 x 2000 mm",7606.12,알루미늄,대한민국,중국,독일,126000,30500,198.25,1,"2행 원산지 대한민국→CHINA, 품목명 표기 다름",0.86,원산지
EXP-2026-0905,SET-05,"Welded (ERW) Steel Pipe, 114.3mm x 4.5mm x 6m",7306.30,철강,대한민국,터키,독일,88600,45200,94.92,1,"1행 수량 400→40(BUNDLES 10 PCS/BDL), 2행 품목명 ERW→Seamless",0.47,서류불일치
EXP-2026-0911,EX-01,Small Electric Motor 0.75kW,8501.10,기타,대한민국,베트남,독일,42000,8200,,0,불일치 후보 없음,0.34,없음
EXP-2026-0912,EX-02,Automotive Bracket Assembly,8708.99,기타,대한민국,미얀마,네덜란드,57500,12400,,0,불일치 후보 없음,0.81,ESG
EXP-2026-0913,EX-03,Polyethylene Resin Pellets HDPE,3901.10,기타,대한민국,인도,이탈리아,31000,20000,,0,불일치 후보 없음,0.66,없음
EXP-2026-0914,EX-04,"Aluminum Extruded Profile 6063-T5, 50mm x 50mm",7604.29,알루미늄,대한민국,러시아,독일,118000,31000,201.5,1,HS Code 불일치 (인보이스 7604.29 / 패킹리스트 7606.12),0.9,HS Code
EXP-2026-0915,EX-05,"Welded (ERW) Steel Pipe, 60.3mm x 3.2mm x 6m",7306.30,철강,대한민국,대한민국,네덜란드,46500,18000,37.8,0,불일치 후보 없음,0.09,없음
